                           QSO        ion       Glon       Glat   peakvel_v_LSR           v_err
                 HB89-0232-042       CII*    174.463    -56.156          -6.211           6.709
                 HB89-0232-042        CIV    174.463    -56.156          -8.841          15.403
                 HB89-0232-042       NiII    174.463    -56.156          -7.056           1.090
                 HB89-0232-042        SII    174.463    -56.156           6.677           3.574
                 HB89-0232-042       SiII    174.463    -56.156          20.299           9.612
                 HB89-0232-042       SiIV    174.463    -56.156         -12.123           7.501
                   HE0056-3622       CII*    293.719    -80.898         -19.774           2.236
                   HE0056-3622        CIV    293.719    -80.898         -28.077          13.033
                   HE0056-3622         NV    293.719    -80.898         -22.850          10.851
                   HE0056-3622       NiII    293.719    -80.898         -15.866           3.270
                   HE0056-3622        SII    293.719    -80.898         -13.865           2.382
                   HE0056-3622       SiIV    293.719    -80.898         -23.963          10.716
                   HE0153-4520       CII*    271.796    -67.975           0.119           3.355
                   HE0153-4520        CIV    271.796    -67.975           1.511           8.294
                   HE0153-4520       FeII    271.796    -67.975         -11.679           4.562
                   HE0153-4520         NV    271.796    -67.975          14.554           3.617
                   HE0153-4520       NiII    271.796    -67.975          -8.553           3.270
                   HE0153-4520        SII    271.796    -67.975          -0.776           2.382
                   HE0153-4520       SiII    271.796    -67.975         -14.841           7.209
                   HE0153-4520       SiIV    271.796    -67.975           9.955           7.501
                   HE0226-4110       CII*    253.941    -65.775           3.124           3.355
                   HE0226-4110        CIV    253.941    -65.775          -8.251           7.109
                   HE0226-4110       NiII    253.941    -65.775         -14.382           9.811
                   HE0226-4110        SII    253.941    -65.775           2.521           2.382
                   HE0226-4110       SiII    253.941    -65.775           2.915           4.806
                   HE0226-4110       SiIV    253.941    -65.775           0.986           6.430
                   HE0238-1904       CII*    200.480    -63.634          -8.500           2.236
                   HE0238-1904        CIV    200.480    -63.634         -26.533           9.479
                   HE0238-1904         NV    200.480    -63.634         -23.614           7.234
                   HE0238-1904       NiII    200.480    -63.634          -6.075           4.360
                   HE0238-1904        SII    200.480    -63.634          -3.951           2.382
                   HE0238-1904       SiIV    200.480    -63.634         -19.771           6.430
                   HE0435-5304       CII*    261.025    -41.375          29.907          11.182
                   HE0435-5304        CIV    261.025    -41.375          -4.550           9.479
