                           QSO        ion       Glon       Glat   peakvel_v_LSR           v_err
              IRAS-F04250-5718       SiIV    266.987    -41.996         -43.800           7.800
              IRAS-F22456-5125        CIV    338.512    -56.630           8.650           7.250
              IRAS-F22456-5125         NV    338.512    -56.630           1.850           6.050
              IRAS-F22456-5125       NiII    338.512    -56.630          -2.000           5.200
              IRAS-F22456-5125        SII    338.512    -56.630          -7.400           3.200
              IRAS-F22456-5125       SiII    338.512    -56.630          -7.750           5.850
              IRAS-F22456-5125       SiIV    338.512    -56.630           5.800           5.900
              IRAS-L06229-6434       CII*    274.312    -27.320          25.500          16.800
              IRAS-L06229-6434        CIV    274.312    -27.320           4.500          12.600
              IRAS-L06229-6434         NV    274.312    -27.320         -12.600           1.000
              IRAS-L06229-6434       NiII    274.312    -27.320           1.700           2.500
              IRAS-L06229-6434        SII    274.312    -27.320          -2.450           5.150
              IRAS-L06229-6434       SiIV    274.312    -27.320           4.650           7.750
               IRASF00040+4325       CII*    114.416    -18.421         -33.350           7.350
               IRASF00040+4325        CIV    114.416    -18.421          34.100           7.100
               IRASF00040+4325       FeII    114.416    -18.421         -39.450          12.350
               IRASF00040+4325         NV    114.416    -18.421         -18.650           7.550
               IRASF00040+4325       NiII    114.416    -18.421         -10.850           5.450
               IRASF00040+4325        SII    114.416    -18.421           2.000           7.400
               IRASF00040+4325       SiIV    114.416    -18.421         -19.600           7.900
                          IZW1       CII*    123.749    -50.175         -12.150           3.550
                          IZW1        CIV    123.749    -50.175          -3.800           5.800
                          IZW1       NiII    123.749    -50.175         -16.300           4.900
                          IZW1        SII    123.749    -50.175         -19.800           4.100
                          IZW1       SiIV    123.749    -50.175          -3.600           7.600
                        KAZ238       CII*    110.965    -28.352         -11.600           6.700
                        KAZ238        CIV    110.965    -28.352         -35.800          11.800
                        KAZ238         NV    110.965    -28.352         -43.750           6.450
                        KAZ238       NiII    110.965    -28.352         -81.050           8.650
                        KAZ238        SII    110.965    -28.352         -19.650          12.750
                        KAZ238       SiIV    110.965    -28.352         -34.500           6.700
                LBQS-1435-0134       CII*    348.718     51.375          -5.000           6.300
                LBQS-1435-0134        CIV    348.718     51.375         -44.050          15.250
                LBQS-1435-0134       FeII    348.718     51.375         -47.050           3.850
                LBQS-1435-0134         NV    348.718     51.375         -29.000          10.100
                LBQS-1435-0134       NiII    348.718     51.375          -4.950           5.450
                LBQS-1435-0134        SII    348.718     51.375           1.250           5.050
                LBQS-1435-0134       SiII    348.718     51.375         -48.950          11.650
                LBQS-1435-0134       SiIV    348.718     51.375         -23.850           7.050
                       MARK509       CII*     35.971    -29.855          -6.050           6.350
                       MARK509        CIV     35.971    -29.855           6.650           7.350
                       MARK509       FeII     35.971    -29.855         -16.050           5.550
                       MARK509         NV     35.971    -29.855          29.950          13.950
                       MARK509       NiII     35.971    -29.855           1.800           6.000
                       MARK509        SII     35.971    -29.855          -0.450           5.050
                       MARK509       SiII     35.971    -29.855          67.650          13.850
                       MARK509       SiIV     35.971    -29.855           7.800          10.000
                    MR2251-178       CII*     46.197    -61.326           1.250           3.150
                    MR2251-178        CIV     46.197    -61.326          18.100           8.800
                    MR2251-178         NV     46.197    -61.326          26.450           7.750
                    MR2251-178       NiII     46.197    -61.326           7.400           3.500
                    MR2251-178        SII     46.197    -61.326           6.300           4.200
                    MR2251-178       SiII     46.197    -61.326          13.400           8.100
                    MR2251-178       SiIV     46.197    -61.326          17.850           6.950
                      MRK-1044       CII*    179.695    -60.477         -18.500           3.500
                      MRK-1044        CIV    179.695    -60.477         -47.100           5.800
                      MRK-1044         NV    179.695    -60.477         -47.050           9.450
                      MRK-1044       NiII    179.695    -60.477         -21.300           3.200
                      MRK-1044        SII    179.695    -60.477         -19.250           4.750
                      MRK-1044       SiII    179.695    -60.477         -23.100           7.500
