                           QSO        ion       Glon       Glat    maxvel_v_LSR            logN
                      MRK-1044       NiII    179.695    -60.477         -35.738          13.765
                      MRK-1044        SII    179.695    -60.477          39.210          14.258
                      MRK-1044       SiII    179.695    -60.477         -20.749          14.650
                      MRK-1044       SiIV    179.695    -60.477         -56.724          13.471
                       MRK-335       CII*    108.763    -41.425         -65.675          12.570
                       MRK-335        CIV    108.763    -41.425         -68.673          12.786
                       MRK-335         NV    108.763    -41.425         -23.704          13.409
                       MRK-335       NiII    108.763    -41.425         -11.712          13.448
                       MRK-335        SII    108.763    -41.425         -53.683          14.887
                       MRK-335       SiII    108.763    -41.425        -122.635          13.098
                       MRK-335       SiIV    108.763    -41.425         -44.689          12.622
                        MRK106       CII*    161.139     42.880          -1.225          14.091
                        MRK106        CIV    161.139     42.880         -67.180          13.295
                        MRK106         NV    161.139     42.880         -13.217          13.365
                        MRK106       NiII    161.139     42.880         -10.219          13.693
                        MRK106        SII    161.139     42.880         -49.192          14.559
                        MRK106       SiII    161.139     42.880        -127.138          14.481
                        MRK106       SiIV    161.139     42.880         -55.188          12.900
                       MRK1148       CII*    123.093    -45.439         -39.418          13.015
                       MRK1148        CIV    123.093    -45.439         -87.384          12.772
                       MRK1148       FeII    123.093    -45.439         -30.424          14.765
                       MRK1148       NiII    123.093    -45.439         -36.420          13.494
                       MRK1148        SII    123.093    -45.439          74.504          14.053
                       MRK1148       SiII    123.093    -45.439          74.504          12.851
                       MRK1148       SiIV    123.093    -45.439           5.551          13.414
                       MRK1179       CII*    148.895    -29.745         -52.571          12.948
                       MRK1179        CIV    148.895    -29.745         -70.559          13.595
                       MRK1179       FeII    148.895    -29.745         -49.573          16.484
                       MRK1179         NV    148.895    -29.745          -4.605          13.429
                       MRK1179        SII    148.895    -29.745          -7.602          15.160
                       MRK1179       SiIV    148.895    -29.745         -43.578          13.076
                       MRK1392       CII*      2.754     50.264         -52.975          13.959
                       MRK1392        CIV      2.754     50.264         -19.998          14.366
                       MRK1392       FeII      2.754     50.264          -2.010           9.512
                       MRK1392         NV      2.754     50.264         -14.002          13.575
                       MRK1392       NiII      2.754     50.264           0.988          13.984
                       MRK1392        SII      2.754     50.264         -19.998          15.313
                       MRK1392       SiII      2.754     50.264        -145.910          12.531
                       MRK1392       SiIV      2.754     50.264         -14.002          13.781
                       MRK1513       CII*     63.670    -29.070         -62.728          13.215
                       MRK1513        CIV     63.670    -29.070          66.183          13.279
                       MRK1513         NV     63.670    -29.070           0.229          13.611
                       MRK1513       NiII     63.670    -29.070         -56.732          13.186
                       MRK1513        SII     63.670    -29.070          -5.767          15.438
                       MRK1513       SiII     63.670    -29.070         -98.703          12.317
                       MRK1513      SiIII     63.670    -29.070          15.218          14.093
                       MRK1513       SiIV     63.670    -29.070          78.175          12.515
                        MRK290       CII*     91.489     47.954         -23.150          14.060
                        MRK290        CIV     91.489     47.954        -107.092          13.194
                        MRK290         NV     91.489     47.954        -107.092          13.128
                        MRK290       NiII     91.489     47.954         -11.158          13.725
                        MRK290        SII     91.489     47.954        -140.069          14.342
                        MRK290       SiII     91.489     47.954        -140.069          14.513
                        MRK290       SiIV     91.489     47.954        -104.094          13.301
                        MRK304        CIV     75.989    -34.222         -88.939          12.935
                        MRK304       NiII     75.989    -34.222         -10.993          13.906
                        MRK304       SiII     75.989    -34.222          51.963          13.106
                        MRK304       SiIV     75.989    -34.222          45.967          12.766
                        MRK817       CII*    100.300     53.478         -30.874          13.756
                        MRK817        CIV    100.300     53.478         -63.851          14.138
                        MRK817         NV    100.300     53.478        -129.805          13.637
                        MRK817       NiII    100.300     53.478        -135.801          13.452
                        MRK817        SII    100.300     53.478        -126.807          14.494
                        MRK817       SiII    100.300     53.478        -135.801          14.339
                        MRK817       SiIV    100.300     53.478        -147.793          12.443
                        MRK841       CII*     11.209     54.632         -97.057          14.000
                        MRK841        CIV     11.209     54.632         -37.099          14.649
                        MRK841         NV     11.209     54.632         -76.072          13.759
                        MRK841       NiII     11.209     54.632         -19.111          14.179
                        MRK841        SII     11.209     54.632         -10.118          15.248
                        MRK841       SiIV     11.209     54.632         -34.101          14.089
                        MRK876       CII*     98.269     40.376         -32.531          14.224
                        MRK876        CIV     98.269     40.376        -107.479          13.498
                        MRK876       FeII     98.269     40.376        -131.463           9.280
                        MRK876         NV     98.269     40.376           3.444          13.564
                        MRK876       NiII     98.269     40.376        -125.467          13.287
                        MRK876        SII     98.269     40.376        -143.454          14.447
                        MRK876       SiII     98.269     40.376        -125.467          14.409
                        MRK876       SiIV     98.269     40.376        -107.479          12.957
                      NGC-3516       CII*    133.236     42.403         -54.692          14.017
                      NGC-3516        CIV    133.236     42.403        -123.645          12.891
                      NGC-3516       FeII    133.236     42.403        -105.657          13.347
                      NGC-3516         NV    133.236     42.403          -0.730          13.743
                      NGC-3516       NiII    133.236     42.403         -57.690          13.757
                      NGC-3516        SII    133.236     42.403        -126.643          14.036
                      NGC-3516       SiII    133.236     42.403        -114.651          13.459
                      NGC-3516       SiIV    133.236     42.403         -54.692          13.371
                      NGC-3783       CII*    287.456     22.948         -97.539          14.351
                      NGC-3783        CIV    287.456     22.948         -70.558          13.009
                      NGC-3783         NV    287.456     22.948          25.376          13.707
                      NGC-3783       NiII    287.456     22.948          64.349          13.729
                      NGC-3783        SII    287.456     22.948          64.349          14.714
                      NGC-3783       SiII    287.456     22.948           7.388          15.219
                      NGC-3783       SiIV    287.456     22.948         -55.568          12.910
                      NGC-4051       CII*    148.883     70.085         -64.973          13.195
                      NGC-4051       FeII    148.883     70.085         -55.979          14.529
                      NGC-4051       NiII    148.883     70.085         -14.008          13.959
                      NGC-4051        SII    148.883     70.085         -52.981          14.957
                      NGC-4051       SiII    148.883     70.085        -124.931          12.242
                      NGC-4051       SiIV    148.883     70.085         -58.977          13.265
                      NGC-5548       CII*     31.961     70.496         -62.037          13.388
