                           QSO        ion       Glon       Glat    maxcol_v_LSR      total_logN
                          3C48        SII    133.963    -28.719         -18.290          15.387
                          3C48       SiIV    133.963    -28.719          -6.298          13.629
                          3C57       CII*    173.077    -67.262         -13.363          14.003
                          3C57        CIV    173.077    -67.262         -19.359          14.041
                          3C57       FeII    173.077    -67.262         -16.361          13.760
                          3C57       NiII    173.077    -67.262         -22.357          14.070
                          3C57        SII    173.077    -67.262         -13.363          15.267
                          3C57       SiII    173.077    -67.262         -13.363          15.000
                          3C57       SiIV    173.077    -67.262         -25.354          13.412
                       4C25.01       CII*    114.072    -36.277           0.320          14.158
                       4C25.01        CIV    114.072    -36.277          -8.674          14.149
                       4C25.01       FeII    114.072    -36.277         -35.655           9.620
                       4C25.01       NiII    114.072    -36.277          -5.676          13.508
                       4C25.01       SiII    114.072    -36.277           6.316          14.849
                       4C25.01       SiIV    114.072    -36.277          -2.678          13.746
                       AKN-564       CII*     92.138    -25.337         -25.799          14.559
                       AKN-564        CIV     92.138    -25.337          13.174          14.528
                       AKN-564       FeII     92.138    -25.337           4.180           9.850
                       AKN-564         NV     92.138    -25.337         -28.797          13.825
                       AKN-564       NiII     92.138    -25.337          -7.811          14.126
                       AKN-564        SII     92.138    -25.337         -10.809          15.591
                       AKN-564       SiII     92.138    -25.337         -67.770          16.821
                       AKN-564       SiIV     92.138    -25.337          -7.811          14.033
                    B0117-2837       CII*    225.731    -83.651           8.290          14.440
                    B0117-2837        CIV    225.731    -83.651          11.288          14.385
                    B0117-2837       FeII    225.731    -83.651          74.245          15.029
                    B0117-2837       NiII    225.731    -83.651          -6.699          13.388
                    B0117-2837        SII    225.731    -83.651         -12.695          15.450
                    B0117-2837       SiIV    225.731    -83.651         -51.668          13.750
                      B0120-28       AlII    227.775    -82.933         -27.912          14.212
                      B0120-28       CII*    227.775    -82.933         -21.917          13.945
                      B0120-28        CIV    227.775    -82.933         -84.873          14.696
                      B0120-28       FeII    227.775    -82.933           2.067          16.334
                      B0120-28       NiII    227.775    -82.933          -6.927          13.754
                      B0120-28       SiIV    227.775    -82.933          29.048          13.634
                    CAL-F-COPY        CIV    277.177    -35.421          11.157          14.287
                    CAL-F-COPY       FeII    277.177    -35.421         -42.806          11.135
                    CAL-F-COPY       NiII    277.177    -35.421          -0.835          13.614
                    CAL-F-COPY        SII    277.177    -35.421           2.163          17.905
                    CAL-F-COPY       SiIV    277.177    -35.421          29.145          13.448
                      CSO-0873        CIV     37.644     83.660         -23.354          14.248
                      CSO-0873       NiII     37.644     83.660         -14.361          18.160
                      CSO-0873       SiII     37.644     83.660         -14.361          17.122
                        CTS487       CII*      5.545    -69.444         -12.131          15.648
                        CTS487        CIV      5.545    -69.444          -6.135          14.139
                        CTS487         NV      5.545    -69.444         -21.125          13.193
                        CTS487       NiII      5.545    -69.444         -12.131          13.731
                        CTS487        SII      5.545    -69.444         -15.129          15.233
                        CTS487       SiII      5.545    -69.444         -24.123          14.254
                        CTS487       SiIV      5.545    -69.444         -27.121          13.525
                    ESO-141-55       CII*    338.183    -26.711           8.948          14.503
                    ESO-141-55        CIV    338.183    -26.711          -0.046          14.650
                    ESO-141-55       FeII    338.183    -26.711          14.943           9.655
                    ESO-141-55         NV    338.183    -26.711          23.937          13.731
                    ESO-141-55       NiII    338.183    -26.711           8.948          13.856
                    ESO-141-55        SII    338.183    -26.711           5.950          16.081
                    ESO-141-55       SiII    338.183    -26.711          23.937          15.007
                    ESO-141-55       SiIV    338.183    -26.711          -0.046          13.853
                      FAIRALL9       CII*    295.073    -57.827         -11.621          14.066
                      FAIRALL9        CIV    295.073    -57.827           6.367          14.300
                      FAIRALL9       NiII    295.073    -57.827           3.369          13.673
                      FAIRALL9        SII    295.073    -57.827          -2.627          15.322
                      FAIRALL9       SIII    295.073    -57.827         -17.617          14.489
                      FAIRALL9       SiII    295.073    -57.827          -2.627          15.519
                      FAIRALL9       SiIV    295.073    -57.827          -5.625          13.670
                FBQSJ1010+3003       CII*    198.427     54.625          12.856          14.768
